NC_000911.1	Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
NC_000911.1	CDS	956275	956613	SGL_RS06355	slr1839	carbon dioxide concentrating mechanism protein	+
NC_000911.1	CDS	956673	957788	SGL_RS06360	slr1840	glycerate kinase	+
NC_000911.1	CDS	958137	960029	SGL_RS06365	slr1841	membrane protein	+
NC_000911.1	CDS	960156	961094	SGL_RS06370	slr1842	cysteine synthase	+
NC_000911.1	CDS	961201	962730	SGL_RS06375	slr1843	glucose-6-phosphate 1-dehydrogenase	+
NC_000911.1	CDS	962888	965800	SGL_RS06380	slr1844	excinuclease ABC subunit A	+
NC_000911.1	CDS	965938	967473	SGL_RS06385	sll1717	hypothetical protein	-
NC_000911.1	CDS	967567	968352	SGL_RS06390	sll1716	IS5/IS1182 family transposase	-
NC_000911.1	CDS	968487	968960	SGL_RS06395	sll1715	PIN domain-containing protein	-
NC_000911.1	CDS	968893	969129	SGL_RS06400	SGL_RS06400	hypothetical protein	-
NC_000911.1	pseudoCDS	969185	969337	SGL_RS18735	SGL_RS18735	PemK family transcriptional regulator	-
NC_000911.1	pseudoCDS	969475	969576	SGL_RS18740	SGL_RS18740	excinuclease ABC subunit C	-
NC_000911.1	CDS	969762	970868	SGL_RS06405	sll1713	threonine-phosphate decarboxylase	-
NC_000911.1	CDS	970882	971184	SGL_RS06410	sll1712	DNA-binding protein HU	-
NC_000911.1	CDS	971460	972317	SGL_RS06415	sll1469	N-acetyltransferase	-
NC_000911.1	CDS	972485	973954	SGL_RS06420	slr1535	hypothetical protein	+
NC_000911.1	CDS	974053	975489	SGL_RS06425	slr1536	ATP-dependent DNA helicase RecQ	+
NC_000911.1	CDS	975779	976648	SGL_RS06430	slr1537	glycosyltransferase family 2 protein	+
NC_000911.1	CDS	976706	977842	SGL_RS06435	slr1538	cobalt-precorrin-6A synthase	+
NC_000911.1	CDS	977932	978867	SGL_RS06440	slr1540	hypothetical protein	+
NC_000911.1	CDS	978941	979573	SGL_RS06445	slr1541	DUF3782 domain-containing protein	+
NC_000911.1	CDS	979685	980170	SGL_RS06450	slr1542	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	+
NC_000911.1	CDS	980276	981694	SGL_RS06455	slr1543	MATE family efflux transporter	+
NC_000911.1	CDS	981691	982605	SGL_RS06460	sll1468	b-carotene hydroxylase	-
NC_000911.1	CDS	982666	982920	SGL_RS06465	SGL_RS06465	hypothetical protein	+
NC_000911.1	CDS	982968	983180	SGL_RS06470	ssr2595	high light inducible protein	+
NC_000911.1	CDS	983229	983540	SGL_RS06475	slr1544	hypothetical protein	+
NC_000911.1	CDS	983819	984475	SGL_RS06480	slr1545	RNA polymerase sigma factor RpoE	+
NC_000911.1	CDS	984562	985200	SGL_RS06485	slr1546	anti-sigma factor	+
NC_000911.1	CDS	985224	986222	SGL_RS06490	slr1547	permease	+
NC_000911.1	tRNA	986297	986377	SGL_RS06495	ST6803t10	tRNA-Leu	+
NC_000911.1	CDS	986492	987733	SGL_RS06500	sll1466	glycosyl transferase	-
NC_000911.1	CDS	987740	987967	SGL_RS06505	ssl2823	twin-arginine translocase TatA/TatE family	-
NC_000911.1	CDS	988072	989505	SGL_RS06510	sll1464	YdiU family protein	-
NC_000911.1	CDS	989717	991603	SGL_RS06515	sll1463	ATP-dependent zinc metalloprotease FtsH 4	-
NC_000911.1	CDS	991735	992772	SGL_RS06520	sll1462	hydrogenase expression/formation protein HypE	-
NC_000911.1	CDS	992821	993483	SGL_RS06525	sll1461	Uma2 family endonuclease	-
NC_000911.1	CDS	993536	994213	SGL_RS06530	sll1459	stationary phase survival protein SurE	-
NC_000911.1	CDS	994343	994906	SGL_RS06535	slr1549	peptide deformylase	+
NC_000911.1	CDS	995022	995219	SGL_RS06540	ssr2611	hypothetical protein	+
NC_000911.1	CDS	995275	996807	SGL_RS06545	slr1550	lysine--tRNA ligase	+
NC_000911.1	CDS	996850	997806	SGL_RS06550	sll1457	RfbJ protein	-
NC_000911.1	CDS	998010	998918	SGL_RS06555	sll1456	FkbM family methyltransferase	-
NC_000911.1	CDS	999029	1001563	SGL_RS06560	slr1552	hypothetical protein	+
NC_000911.1	CDS	1001639	1002106	SGL_RS06565	sll1455	hypothetical protein	-
NC_000911.1	pseudoCDS	1002177	1002617	SGL_RS06570	SGL_RS06570	hypothetical protein	+
NC_000911.1	CDS	1002633	1004777	SGL_RS06575	sll1454	nitrate reductase catalytic subunit	-
NC_000911.1	CDS	1005181	1006179	SGL_RS06580	sll1453	bacitracin ABC transporter ATP-binding protein	-
NC_000911.1	CDS	1006234	1008246	SGL_RS06585	sll1452	nitrate transport ATP-binding protein NrtC	-
NC_000911.1	CDS	1008321	1009148	SGL_RS06590	sll1451	nitrate transport permease nrtB	-
NC_000911.1	CDS	1009234	1010574	SGL_RS06595	sll1450	nitrate transporter NrtA	-
NC_000911.1	CDS	1010710	1011759	SGL_RS06600	sll1634	hypothetical protein	-
NC_000911.1	CDS	1011975	1012619	SGL_RS06605	slr1748	histidine phosphatase family protein	+
NC_000911.1	CDS	1012616	1012888	SGL_RS06610	ssl3177	hypothetical protein	-
NC_000911.1	CDS	1013045	1014337	SGL_RS06615	sll1633	cell division protein FtsZ	-
NC_000911.1	CDS	1014587	1015396	SGL_RS06620	sll1632	hypothetical protein	-
NC_000911.1	CDS	1015511	1016782	SGL_RS06625	slr1751	S41 family peptidase	+
NC_000911.1	CDS	1016830	1017495	SGL_RS06630	slr1752	Uma2 family endonuclease	+
NC_000911.1	CDS	1017600	1018493	SGL_RS06635	sll1144	16S rRNA	-
NC_000911.1	CDS	1018650	1019126	SGL_RS06640	slr1218	DUF4168 domain-containing protein	+
NC_000911.1	CDS	1019155	1019583	SGL_RS06645	slr1219	urease accessory protein UreE	+
NC_000911.1	CDS	1019808	1020761	SGL_RS06650	slr1220	photosystem reaction center subunit H	+
NC_000911.1	CDS	1021421	1022008	SGL_RS06655	slr1222	hypothetical protein	+
NC_000911.1	CDS	1022278	1024659	SGL_RS06660	sll1143	DNA helicase PcrA	-
NC_000911.1	CDS	1024825	1025346	SGL_RS06665	sll1142	bifunctional nuclease family protein	-
NC_000911.1	CDS	1025519	1026442	SGL_RS06670	slr1223	epimerase	+
NC_000911.1	CDS	1026511	1027737	SGL_RS06675	slr1224	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	1027844	1029331	SGL_RS06680	slr1225	serine/threonine protein kinase	+
NC_000911.1	CDS	1029337	1030083	SGL_RS06685	sll1138	HAD family phosphatase	-
NC_000911.1	CDS	1030195	1030989	SGL_RS06690	slr1226	phosphoribosylaminoimidazolesuccinocarboxamide	+
NC_000911.1	CDS	1031202	1033787	SGL_RS06695	slr1227	outer membrane protein assembly factor	+
NC_000911.1	CDS	1033902	1035545	SGL_RS06700	slr1228	peptide chain release factor 3	+
NC_000911.1	CDS	1035593	1037089	SGL_RS06705	slr1229	SulP family inorganic anion transporter	+
NC_000911.1	CDS	1037189	1038052	SGL_RS06710	slr1230	hypothetical protein	+
NC_000911.1	CDS	1038038	1039042	SGL_RS06715	sll1135	NAD(P)/FAD-dependent oxidoreductase	-
NC_000911.1	CDS	1039196	1039732	SGL_RS06720	slr1232	SH3 domain-containing protein	+
NC_000911.1	CDS	1040092	1040355	SGL_RS06725	ssr2047	hypothetical protein	+
NC_000911.1	CDS	1040531	1042258	SGL_RS06730	slr1233	succinate dehydrogenase/fumarate reductase	+
NC_000911.1	CDS	1042390	1042557	SGL_RS06735	ssr2049	protochlorophyllide reductase	+
NC_000911.1	CDS	1042609	1042953	SGL_RS06740	slr1234	histidine triad nucleotide-binding protein	+
NC_000911.1	CDS	1042999	1043880	SGL_RS06745	slr1235	alpha/beta hydrolase	+
NC_000911.1	CDS	1043917	1044450	SGL_RS06750	slr1236	DUF192 domain-containing protein	+
NC_000911.1	CDS	1044517	1044693	SGL_RS06755	ssl2250	glycoprotein	-
NC_000911.1	CDS	1044915	1046366	SGL_RS06760	sll1132	hypothetical protein	-
NC_000911.1	CDS	1046402	1046830	SGL_RS06765	sll1131	GtrA family protein	-
NC_000911.1	CDS	1047005	1048357	SGL_RS06770	slr1237	cytosine deaminase	+
NC_000911.1	CDS	1048406	1048753	SGL_RS06775	sll1130	type II toxin-antitoxin system PemK/MazF family	-
NC_000911.1	CDS	1048750	1049016	SGL_RS06780	ssl2245	hypothetical protein	-
NC_000911.1	CDS	1049517	1050407	SGL_RS06785	sll1129	alpha/beta hydrolase	-
NC_000911.1	CDS	1050490	1050729	SGL_RS06790	ssr2060	hypothetical protein	+
NC_000911.1	CDS	1050812	1051078	SGL_RS06795	ssr2061	glutaredoxin	+
NC_000911.1	CDS	1051159	1052121	SGL_RS06800	slr1238	glutathione synthetase	+
NC_000911.1	CDS	1052518	1052784	SGL_RS06805	ssr2062	hypothetical protein	+
NC_000911.1	CDS	1052927	1053754	SGL_RS06810	sll1127	1,4-dihydroxy-2-naphthoyl-CoA synthase	-
NC_000911.1	CDS	1053955	1055547	SGL_RS06815	slr1239	Re/Si-specific NAD(P)(+) transhydrogenase	+
NC_000911.1	CDS	1055574	1056113	SGL_RS06820	slr1240	hypothetical protein	+
NC_000911.1	CDS	1056119	1056466	SGL_RS06825	slr1241	hypothetical protein	+
NC_000911.1	CDS	1056487	1056717	SGL_RS06830	SGL_RS06830	type II toxin-antitoxin system HicA family	+
NC_000911.1	CDS	1056714	1056944	SGL_RS06835	ssr2067	type II toxin-antitoxin system HicB family	+
NC_000911.1	CDS	1056985	1058427	SGL_RS06840	slr1434	Re/Si-specific NAD(P)(+) transhydrogenase	+
NC_000911.1	CDS	1058537	1059820	SGL_RS06845	slr1435	TldD/PmbA family protein	+
NC_000911.1	CDS	1059922	1060773	SGL_RS06850	slr1436	class I SAM-dependent methyltransferase	+
NC_000911.1	CDS	1060901	1061239	SGL_RS06855	slr1437	hypothetical protein	+
NC_000911.1	CDS	1061242	1062111	SGL_RS06860	slr1438	aldose 1-epimerase	+
NC_000911.1	CDS	1062238	1065204	SGL_RS06865	sll1362	isoleucine--tRNA ligase	-
NC_000911.1	CDS	1065398	1065622	SGL_RS06870	ssr2406	hypothetical protein	+
NC_000911.1	CDS	1065660	1069010	SGL_RS06875	sll1360	intein-containing DNA polymerase III subunit	-
NC_000911.1	CDS	1069178	1069609	SGL_RS06880	slr1440	glyoxalase	+
NC_000911.1	CDS	1069666	1071702	SGL_RS06885	sll1359	hypothetical protein	-
NC_000911.1	CDS	1071734	1072918	SGL_RS06890	sll1358	cupin domain-containing protein	-
NC_000911.1	CDS	1073080	1075629	SGL_RS06895	sll1356	glycogen phosphorylase	-
NC_000911.1	CDS	1076065	1076454	SGL_RS06900	slr1441	hypothetical protein	+
NC_000911.1	CDS	1076474	1077019	SGL_RS06905	sll1355	Uma2 family endonuclease	-
NC_000911.1	CDS	1077167	1077412	SGL_RS06910	SGL_RS06910	DUF2442 domain-containing protein	-
NC_000911.1	pseudoCDS	1077396	1077632	SGL_RS18745	SGL_RS18745	hypothetical protein	-
NC_000911.1	CDS	1077755	1078612	SGL_RS06915	slr1442	hypothetical protein	+
NC_000911.1	CDS	1078657	1080501	SGL_RS06920	slr1443	serine/threonine protein kinase	+
NC_000911.1	CDS	1080695	1081696	SGL_RS06925	slr1444	CHAD domain-containing protein	+
NC_000911.1	CDS	1081887	1082141	SGL_RS06930	ssr2422	thylakoid membrane protein	+
NC_000911.1	tRNA	1082298	1082371	SGL_RS06935	ST6803t11	tRNA-Met	-
NC_000911.1	CDS	1082437	1084716	SGL_RS06940	sll1354	single-stranded-DNA-specific exonuclease RecJ	-
NC_000911.1	CDS	1084757	1087753	SGL_RS06945	sll1353	two-component sensor histidine kinase	-
NC_000911.1	CDS	1087772	1089190	SGL_RS06950	sll1352	DUF2079 domain-containing protein	-
NC_000911.1	CDS	1089400	1090323	SGL_RS06955	slr1448	carbohydrate kinase	+
NC_000911.1	pseudoCDS	1090359	1090568	SGL_RS18750	SGL_RS18750	hypothetical protein	+
NC_000911.1	CDS	1090680	1091279	SGL_RS06960	slr1449	cytochrome b	+
NC_000911.1	CDS	1091317	1091631	SGL_RS06965	slr1450	hypothetical protein	+
NC_000911.1	CDS	1091698	1092894	SGL_RS06970	sll1350	hypothetical protein	-
NC_000911.1	CDS	1092925	1093590	SGL_RS06975	sll1349	carotenoid oxygenase	-
NC_000911.1	CDS	1093626	1094516	SGL_RS06980	sll1348	tRNA epoxyqueuosine(34) reductase QueG	-
NC_000911.1	CDS	1094649	1095143	SGL_RS06985	sll1282	6,7-dimethyl-8-ribityllumazine synthase	-
NC_000911.1	CDS	1095248	1095436	SGL_RS06990	SGL_RS06990	photosystem II reaction center protein Z	-
NC_000911.1	tRNA	1095712	1095793	SGL_RS06995	ST6803t12	tRNA-Leu	-
NC_000911.1	CDS	1095772	1096683	SGL_RS18755	SGL_RS18755	hypothetical protein	-
NC_000911.1	CDS	1097077	1098063	SGL_RS07010	slr1356	30S ribosomal protein S1 A	+
NC_000911.1	CDS	1098323	1099171	SGL_RS18760	SGL_RS18760	IS630 family transposase	+
NC_000911.1	CDS	1099214	1100368	SGL_RS07025	sll1277	DNA replication and repair protein RecF	-
NC_000911.1	CDS	1100410	1102149	SGL_RS07030	sll1276	ABC transporter ATP-binding protein	-
NC_000911.1	CDS	1102283	1104058	SGL_RS07035	sll1275	pyruvate kinase 2	-
NC_000911.1	CDS	1104246	1104647	SGL_RS07040	slr1362	DUF1824 domain-containing protein	+
NC_000911.1	CDS	1105030	1105545	SGL_RS07045	sll1274	TIGR02652 family protein	-
NC_000911.1	CDS	1105666	1107168	SGL_RS07050	slr1363	polyphosphate:AMP phosphotransferase	+
NC_000911.1	CDS	1107242	1108330	SGL_RS07055	slr1364	biotin synthase	+
NC_000911.1	CDS	1108314	1108967	SGL_RS07060	slr1365	biotin transporter BioY	+
NC_000911.1	CDS	1108967	1109452	SGL_RS07065	slr1366	lipoprotein signal peptidase	+
NC_000911.1	CDS	1109620	1111044	SGL_RS07070	sll1273	hypothetical protein	-
NC_000911.1	CDS	1111185	1111955	SGL_RS07075	sll1272	DUF4393 domain-containing protein	-
NC_000911.1	CDS	1112230	1112475	SGL_RS07080	SGL_RS07080	hypothetical protein	-
NC_000911.1	CDS	1112531	1114249	SGL_RS07085	sll1271	hypothetical protein	-
NC_000911.1	CDS	1114429	1116021	SGL_RS07090	sll1270	ABC transporter substrate-binding protein	-
NC_000911.1	CDS	1116360	1116629	SGL_RS07095	ssl2501	hypothetical protein	-
NC_000911.1	CDS	1117143	1119674	SGL_RS07100	slr1367	glycogen/starch/alpha-glucan phosphorylase	+
NC_000911.1	CDS	1119916	1120509	SGL_RS07105	slr1368	precorrin-6Y C5,15-methyltransferase	+
NC_000911.1	CDS	1120643	1121524	SGL_RS07110	slr1369	phosphatidate cytidylyltransferase	+
NC_000911.1	CDS	1121627	1123180	SGL_RS07115	sll1268	hypothetical protein	-
NC_000911.1	CDS	1123441	1124031	SGL_RS07120	sll1267	hypothetical protein	-
NC_000911.1	CDS	1124071	1130007	SGL_RS07125	sll1265	hypothetical protein	-
NC_000911.1	CDS	1130313	1131683	SGL_RS07130	sll0877	hypothetical protein	-
NC_000911.1	CDS	1131810	1132247	SGL_RS07135	slr0875	large conductance mechanosensitive channel	+
NC_000911.1	CDS	1132264	1132899	SGL_RS07140	sll0876	Holliday junction branch migration protein RuvA	-
NC_000911.1	CDS	1132914	1133690	SGL_RS07145	sll0875	TIGR00297 family protein	-
NC_000911.1	CDS	1133879	1135108	SGL_RS07150	slr0876	NAD(P)/FAD-dependent oxidoreductase	+
NC_000911.1	CDS	1135337	1135588	SGL_RS07155	ssr1480	RNA-binding protein	+
NC_000911.1	CDS	1135716	1137167	SGL_RS07160	slr0877	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase	+
NC_000911.1	CDS	1137375	1138112	SGL_RS07165	slr0878	M23 family peptidase	+
NC_000911.1	CDS	1138210	1138608	SGL_RS07170	slr0879	glycine cleavage system protein H	+
NC_000911.1	CDS	1138702	1140474	SGL_RS07175	slr0880	DUF814 domain-containing protein	+
NC_000911.1	CDS	1140497	1141660	SGL_RS07180	sll0873	carboxynorspermidine decarboxylase	-
NC_000911.1	CDS	1141803	1141946	SGL_RS18765	SGL_RS18765	chlorophyll A-B-binding protein	-
NC_000911.1	CDS	1142101	1142412	SGL_RS07185	slr0881	hypothetical protein	+
NC_000911.1	CDS	1142501	1142893	SGL_RS07190	sll0872	hypothetical protein	-
NC_000911.1	CDS	1143053	1144231	SGL_RS07195	slr0882	YjgP/YjgQ family permease	+
NC_000911.1	CDS	1144728	1146173	SGL_RS07200	slr0883	LytR family transcriptional regulator	+
NC_000911.1	CDS	1146290	1146718	SGL_RS07205	sll0871	hypothetical protein	-
NC_000911.1	CDS	1146867	1147079	SGL_RS07210	SGL_RS07210	hypothetical protein	-
NC_000911.1	CDS	1147079	1148098	SGL_RS07215	slr0884	type I glyceraldehyde-3-phosphate dehydrogenase	+
NC_000911.1	CDS	1148488	1148670	SGL_RS07220	SGL_RS07220	hypothetical protein	+
NC_000911.1	CDS	1148722	1149297	SGL_RS07225	slr0885	Uma2 family endonuclease	+
NC_000911.1	CDS	1149471	1150067	SGL_RS07230	sll0869	leucyl/phenylalanyl-tRNA--protein transferase	-
NC_000911.1	CDS	1150122	1151015	SGL_RS07235	sll0868	lipoyl synthase	-
NC_000911.1	CDS	1151139	1152431	SGL_RS07240	sll0867	aldo/keto reductase	-
NC_000911.1	CDS	1152549	1153292	SGL_RS07245	slr0886	beta-ketoacyl-ACP reductase	+
NC_000911.1	CDS	1153292	1154101	SGL_RS07250	slr0887	hypothetical protein	+
NC_000911.1	CDS	1154143	1154361	SGL_RS07255	SGL_RS07255	hypothetical protein	-
NC_000911.1	CDS	1154330	1154836	SGL_RS07260	slr0888	hypothetical protein	+
NC_000911.1	CDS	1154857	1156083	SGL_RS07265	slr0889	AarF/ABC1/UbiB kinase family protein	+
NC_000911.1	CDS	1156171	1156503	SGL_RS07270	ssr1499	hypothetical protein	+
NC_000911.1	CDS	1156580	1156975	SGL_RS07275	slr0890	clan AA aspartic protease	+
NC_000911.1	CDS	1157029	1158909	SGL_RS07280	sll0865	UvrABC system protein C	-
NC_000911.1	CDS	1159029	1160804	SGL_RS07285	slr0891	N-acetylmuramoyl-L-alanine amidase	+
NC_000911.1	CDS	1160787	1161260	SGL_RS07290	sll0864	hypothetical protein	-
NC_000911.1	CDS	1161441	1161842	SGL_RS07295	sll0863	hypothetical protein	-
NC_000911.1	CDS	1161856	1163367	SGL_RS07300	sll0862	site-2 protease family protein	-
NC_000911.1	CDS	1163421	1164338	SGL_RS07305	sll0861	N-acetylmuramic acid 6-phosphate etherase	-
NC_000911.1	CDS	1164496	1165017	SGL_RS07310	sll0860	DUF3110 domain-containing protein	-
NC_000911.1	CDS	1165087	1166073	SGL_RS07315	sll1317	apocytochrome f	-
NC_000911.1	CDS	1166186	1166728	SGL_RS07320	sll1316	cytochrome b6-f complex iron-sulfur subunit 2	-
NC_000911.1	CDS	1167053	1167247	SGL_RS07325	ssl2598	photosystem II reaction center protein H	-
NC_000911.1	CDS	1167333	1167464	SGL_RS18770	SGL_RS18770	photosystem II reaction center protein PsbN	+
NC_000911.1	CDS	1167510	1167779	SGL_RS07330	ssl2595	hypothetical protein	-
NC_000911.1	CDS	1167961	1169019	SGL_RS07335	sll1315	hypothetical protein	-
NC_000911.1	CDS	1169078	1170187	SGL_RS07340	sll1314	TRAP transporter substrate-binding protein	-
NC_000911.1	CDS	1170571	1179621	SGL_RS07345	slr1403	hypothetical protein	+
NC_000911.1	CDS	1179926	1180672	SGL_RS07350	sll1308	SDR family NAD(P)-dependent oxidoreductase	-
NC_000911.1	CDS	1181064	1181609	SGL_RS07355	slr1406	heme-binding protein	+
NC_000911.1	CDS	1181716	1182585	SGL_RS07360	slr1407	hypothetical protein	+
NC_000911.1	CDS	1182665	1183645	SGL_RS07365	slr1409	hypothetical protein	+
NC_000911.1	CDS	1183660	1184664	SGL_RS07370	slr1410	hypothetical protein	+
NC_000911.1	CDS	1184711	1185238	SGL_RS07375	sll1307	heme-binding protein	-
NC_000911.1	CDS	1185300	1186307	SGL_RS07380	sll1306	hypothetical protein	-
NC_000911.1	CDS	1186311	1187198	SGL_RS07385	sll1305	alpha/beta hydrolase	-
NC_000911.1	CDS	1187219	1188082	SGL_RS07390	sll1304	hypothetical protein	-
NC_000911.1	CDS	1188079	1188885	SGL_RS07395	sll1785	hypothetical protein	-
NC_000911.1	CDS	1189110	1189913	SGL_RS07400	sll1784	hypothetical protein	-
NC_000911.1	CDS	1189940	1190383	SGL_RS07405	sll1783	antibiotic biosynthesis monooxygenase	-
NC_000911.1	CDS	1190867	1191433	SGL_RS07410	slr1852	hypothetical protein	+
NC_000911.1	CDS	1191445	1191786	SGL_RS07415	slr1853	carboxymuconolactone decarboxylase family	+
NC_000911.1	CDS	1191856	1192452	SGL_RS07420	slr1854	thimanine synthesis protein ThiJ	+
NC_000911.1	CDS	1192485	1194308	SGL_RS07425	slr1855	AGE family epimerase/isomerase	+
NC_000911.1	CDS	1194314	1194643	SGL_RS07430	slr1856	STAS domain-containing protein	+
NC_000911.1	CDS	1194653	1196776	SGL_RS07435	slr1857	glycogen debranching enzyme GlgX	+
NC_000911.1	CDS	1196836	1197162	SGL_RS07440	slr1859	STAS domain-containing protein	+
NC_000911.1	CDS	1197262	1199166	SGL_RS07445	slr1860	protein IcfG	+
NC_000911.1	CDS	1199172	1199603	SGL_RS07450	slr1861	anti-sigma regulatory factor	+
NC_000911.1	CDS	1199708	1200412	SGL_RS07455	slr1862	hypothetical protein	+
NC_000911.1	CDS	1200376	1201392	SGL_RS07460	sll1780	IS4 family transposase IS4Sa	-
NC_000911.1	CDS	1201494	1203014	SGL_RS07465	slr1863	hypothetical protein	+
NC_000911.1	CDS	1203028	1204098	SGL_RS07470	slr1864	AEC family transporter	+
NC_000911.1	CDS	1204276	1205538	SGL_RS07475	slr1865	carbohydrate ABC transporter substrate-binding	+
NC_000911.1	CDS	1205546	1206547	SGL_RS07480	slr1866	hypothetical protein	+
NC_000911.1	CDS	1206947	1207993	SGL_RS07485	slr1867	anthranilate phosphoribosyltransferase	+
NC_000911.1	CDS	1208020	1208697	SGL_RS07490	sll1776	2-deoxyribose-5-phosphate aldolase	-
NC_000911.1	CDS	1208749	1211202	SGL_RS07495	sll1775	hypothetical protein	-
NC_000911.1	CDS	1211401	1211625	SGL_RS07500	SGL_RS07500	hypothetical protein	+
NC_000911.1	CDS	1211638	1212420	SGL_RS07505	sll1774	hypothetical protein	-
NC_000911.1	CDS	1212600	1213358	SGL_RS07510	slr1869	hypothetical protein	+
NC_000911.1	CDS	1213518	1213796	SGL_RS07515	SGL_RS07515	hypothetical protein	+
NC_000911.1	CDS	1214188	1214937	SGL_RS07520	slr1870	NYN domain-containing protein	+
NC_000911.1	CDS	1215167	1215403	SGL_RS07525	SGL_RS07525	hypothetical protein	-
NC_000911.1	CDS	1215453	1216151	SGL_RS07530	sll1773	quercetin 2,3-dioxygenase sll1773	-
NC_000911.1	CDS	1216281	1217168	SGL_RS07535	slr1871	LysR family transcriptional regulator	+
NC_000911.1	CDS	1217156	1219624	SGL_RS07540	sll1772	endonuclease MutS2	-
NC_000911.1	CDS	1219654	1220418	SGL_RS07545	sll1771	serine/threonine-protein phosphatase	-
NC_000911.1	CDS	1220473	1222230	SGL_RS07550	sll1770	AarF/ABC1/UbiB kinase family protein	-
NC_000911.1	CDS	1222290	1222472	SGL_RS07555	SGL_RS07555	hypothetical protein	-
NC_000911.1	CDS	1222610	1222927	SGL_RS07560	sll1769	thylakoid lumen protein	-
NC_000911.1	CDS	1222937	1223209	SGL_RS07565	ssl3383	hypothetical protein	-
NC_000911.1	CDS	1223666	1224646	SGL_RS07570	sll1768	ABC transporter permease	-
NC_000911.1	CDS	1224777	1225841	SGL_RS07575	slr1874	D-alanine--D-alanine ligase	+
NC_000911.1	CDS	1225928	1226566	SGL_RS07580	slr1875	hypothetical protein	+
NC_000911.1	CDS	1226686	1226982	SGL_RS07585	ssl3379	ATP-dependent Clp protease adapter protein ClpS	-
NC_000911.1	CDS	1227090	1227563	SGL_RS07590	slr1876	HybD peptidase	+
NC_000911.1	CDS	1227591	1227932	SGL_RS07595	sll1767	30S ribosomal protein S6	-
NC_000911.1	CDS	1228237	1229067	SGL_RS07600	slr1877	FAA hydrolase family protein	+
NC_000911.1	CDS	1229120	1229938	SGL_RS07605	slr1878	phycocyanobilin lyase	+
NC_000911.1	CDS	1229971	1231167	SGL_RS07610	sll1766	GRRM system radical SAM/SPASM domain protein	-
NC_000911.1	CDS	1231207	1231686	SGL_RS07615	sll1765	hypothetical protein	-
NC_000911.1	CDS	1231770	1232204	SGL_RS07620	sll1764	rSAM-associated Gly-rich repeat protein	-
NC_000911.1	CDS	1232271	1232675	SGL_RS07625	sll1763	rSAM-associated Gly-rich repeat protein	-
NC_000911.1	CDS	1232784	1233683	SGL_RS07630	sll1762	amino acid ABC transporter substrate-binding	-
NC_000911.1	CDS	1233784	1234512	SGL_RS07635	slr1879	precorrin-2 C(20)-methyltransferase	+
NC_000911.1	CDS	1234509	1235123	SGL_RS07640	sll1761	DUF922 domain-containing protein	-
NC_000911.1	CDS	1235136	1236056	SGL_RS07645	sll1760	homoserine kinase	-
NC_000911.1	CDS	1236316	1237449	SGL_RS07650	slr1880	aminoglycoside phosphotransferase family	+
NC_000911.1	CDS	1237543	1238988	SGL_RS07655	sll1758	phosphoglucosamine mutase	-
NC_000911.1	CDS	1239156	1239383	SGL_RS07660	ssr3184	ferredoxin family protein	+
NC_000911.1	CDS	1239490	1240212	SGL_RS07665	slr1881	ABC transporter ATP-binding protein	+
NC_000911.1	CDS	1240361	1241302	SGL_RS07670	slr1882	bifunctional riboflavin kinase/FAD synthetase	+
NC_000911.1	CDS	1241313	1242191	SGL_RS07675	sll1757	hypothetical protein	-
NC_000911.1	CDS	1242336	1242605	SGL_RS07680	ssr3188	DUF3143 domain-containing protein	+
NC_000911.1	CDS	1242765	1242989	SGL_RS07685	ssl3364	hypothetical protein	-
NC_000911.1	CDS	1243274	1244287	SGL_RS07690	slr1884	tryptophan--tRNA ligase	+
NC_000911.1	CDS	1244731	1245309	SGL_RS07695	slr1885	HD domain-containing protein	+
NC_000911.1	CDS	1245395	1245859	SGL_RS07700	slr1886	ribosome silencing factor RsfS	+
NC_000911.1	CDS	1245892	1247115	SGL_RS07705	sll1755	hypothetical protein	-
NC_000911.1	CDS	1247192	1248154	SGL_RS07710	slr1887	hydroxymethylbilane synthase	+
NC_000911.1	CDS	1248284	1250176	SGL_RS07715	slr1888	GNAT family N-acetyltransferase	+
NC_000911.1	CDS	1250442	1252535	SGL_RS07720	slr2132	phosphate acetyltransferase	+
NC_000911.1	CDS	1252593	1253207	SGL_RS07725	sll2015	hypothetical protein	-
NC_000911.1	CDS	1253269	1253982	SGL_RS07730	sll2014	DNA/RNA nuclease SfsA	-
NC_000911.1	CDS	1254036	1254623	SGL_RS07735	sll2013	DUF1997 domain-containing protein	-
NC_000911.1	CDS	1254783	1255739	SGL_RS07740	sll2012	RNA polymerase sigma factor, RpoD/SigA family	-
NC_000911.1	CDS	1255858	1256040	SGL_RS07745	SGL_RS07745	hypothetical protein	+
NC_000911.1	CDS	1256125	1256751	SGL_RS07750	sll2011	7-carboxy-7-deazaguanine synthase QueE	-
NC_000911.1	CDS	1256905	1258263	SGL_RS07755	sll2010	UDP-N-acetylmuramoyl-L-alanine--D-glutamate	-
NC_000911.1	CDS	1258444	1259751	SGL_RS07760	sll2009	insulinase family protein	-
NC_000911.1	CDS	1259760	1261052	SGL_RS07765	sll2008	insulinase family protein	-
