Type	Start	End	Locus_tag	Old_locus_tag	Product	Strand
CDS	840122	840952	SGL_RS05835	sll1802	50S ribosomal protein L2	-
CDS	841002	841307	SGL_RS05840	sll1801	50S ribosomal protein L23	-
CDS	841300	841932	SGL_RS05845	sll1800	50S ribosomal protein L4	-
CDS	841972	842613	SGL_RS05850	sll1799	50S ribosomal protein L3	-
CDS	843105	843575	SGL_RS05855	slr1894	DNA starvation/stationary phase protection	+
CDS	843613	844221	SGL_RS05860	sll1797	DUF98 domain-containing protein	-
CDS	844180	845394	SGL_RS05865	slr1895	metallophosphoesterase	+
CDS	845482	845874	SGL_RS05870	slr1896	DUF1823 domain-containing protein	+
CDS	845966	846328	SGL_RS05875	sll1796	cytochrome c6	-
CDS	846509	847810	SGL_RS05880	slr1897	sugar ABC transporter substrate-binding protein	+
CDS	848074	848967	SGL_RS05885	slr1898	acetylglutamate kinase	+
CDS	849095	849748	SGL_RS05890	slr1899	urease accessory protein UreF	+
CDS	849802	850545	SGL_RS05895	slr1900	DUF3386 domain-containing protein	+
CDS	850605	851585	SGL_RS05900	slr1901	ABC transporter	+
pseudoCDS	851717	852447	SGL_RS18720	SGL_RS18720	IS1 family transposase	+
pseudoCDS	852470	853281	SGL_RS18725	SGL_RS18725	IS5/IS1182 family transposase	-
CDS	853497	857450	SGL_RS05925	sll1789	DNA-directed RNA polymerase subunit beta'	-
CDS	857558	860866	SGL_RS05930	sll1787	DNA-directed RNA polymerase subunit beta	-
CDS	860952	861737	SGL_RS05935	sll1786	deoxyribonuclease	-
CDS	861873	862166	SGL_RS05940	ssl2233	30S ribosomal protein S20	-
CDS	862262	866377	SGL_RS05945	sll1124	sensor histidine kinase	-
CDS	866374	867144	SGL_RS05950	sll1123	hypothetical protein	-
CDS	867257	869569	SGL_RS05955	sll1121	ATP-dependent helicase	-
CDS	869668	873270	SGL_RS05960	sll1120	chromosome segregation protein SMC	-
CDS	873465	874550	SGL_RS05965	sll1119	hypothetical protein	-
CDS	874693	875361	SGL_RS05970	slr1194	DUF533 domain-containing protein	+
CDS	875515	875979	SGL_RS05975	slr1195	DUF3531 domain-containing protein	+
CDS	876008	877297	SGL_RS05980	slr1196	tetratricopeptide repeat protein	+
CDS	877325	878521	SGL_RS05985	slr1197	protein smf	+
CDS	878564	878890	SGL_RS05990	sll1118	hypothetical protein	-
CDS	878937	879209	SGL_RS05995	ssr2009	DUF2442 domain-containing protein	+
CDS	879408	880043	SGL_RS06000	slr1198	peroxiredoxin	+
CDS	880147	881838	SGL_RS06005	slr1199	DNA mismatch repair endonuclease MutL	+
CDS	882023	883189	SGL_RS06010	slr1200	branched-chain amino acid ABC transporter	+
CDS	883287	884519	SGL_RS06015	slr1201	urea ABC transporter permease subunit UrtC	+
CDS	884635	885531	SGL_RS06020	slr1202	sugar ABC transporter permease	+
CDS	885641	886078	SGL_RS06025	slr1203	DUF29 domain-containing protein	+
CDS	886283	887542	SGL_RS06030	slr1204	serine protease	+
CDS	887731	888084	SGL_RS06035	slr1205	Rieske (2Fe-2S) protein	+
CDS	888358	888993	SGL_RS06040	slr1206	DUF1997 domain-containing protein	+
CDS	889061	890605	SGL_RS06045	slr1207	ABC transporter	+
CDS	890827	891024	SGL_RS06050	ssr2016	hypothetical protein	+
CDS	891276	893249	SGL_RS06055	slr1208	bifunctional aldolase/short-chain dehydrogenase	+
CDS	893261	893590	SGL_RS06060	slr1209	DUF433 domain-containing protein	+
CDS	893583	893972	SGL_RS06065	slr1210	hypothetical protein	+
CDS	893984	897262	SGL_RS06070	slr1211	cobaltochelatase subunit CobN	+
CDS	897354	899888	SGL_RS06075	slr1212	ATPase	+
CDS	899937	900662	SGL_RS06080	slr1213	DNA-binding response regulator	+
CDS	901197	902315	SGL_RS06085	slr1214	response regulator	+
CDS	902387	903055	SGL_RS06090	slr1215	hypothetical protein	+
CDS	903148	903606	SGL_RS06095	sll1112	3-dehydroquinate dehydratase	-
CDS	904115	905506	SGL_RS06105	slr1216	magnesium transporter	+
CDS	905575	906789	SGL_RS06110	sll1971	glycosyltransferase family 1 protein	-
CDS	906972	907826	SGL_RS06115	slr2070	DUF1868 domain-containing protein	+
CDS	907990	908313	SGL_RS06120	slr2071	hypothetical protein	+
CDS	908353	908961	SGL_RS06125	sll1969	hypothetical protein	-
CDS	908968	909483	SGL_RS06130	sll1968	anti-sigma regulatory factor	-
CDS	909603	910994	SGL_RS06135	sll1967	RNA methyltransferase	-
CDS	911357	912883	SGL_RS06140	slr2072	threonine ammonia-lyase, biosynthetic	+
CDS	913296	913856	SGL_RS06145	slr2073	cell division protein SepF	+
CDS	914052	914441	SGL_RS06150	slr2074	mannose-6-phosphate isomerase	+
CDS	914542	914796	SGL_RS06155	SGL_RS06155	hypothetical protein	-
CDS	914780	915190	SGL_RS06160	sll1965	hypothetical protein	-
CDS	915313	915624	SGL_RS06165	slr2075	co-chaperone GroES	+
CDS	915721	917346	SGL_RS06170	slr2076	molecular chaperone GroEL	+
CDS	917816	920014	SGL_RS06175	slr2077	hypothetical protein	+
CDS	920331	920915	SGL_RS06180	slr2078	NUDIX hydrolase	+
CDS	920942	921196	SGL_RS18730	SGL_RS18730	hypothetical protein	-
CDS	921549	922637	SGL_RS06190	sll1747	chorismate synthase	-
CDS	922844	923230	SGL_RS06195	sll1746	50S ribosomal protein L7/L12	-
CDS	923318	923839	SGL_RS06200	sll1745	50S ribosomal protein L10	-
CDS	924086	924802	SGL_RS06205	sll1744	50S ribosomal protein L1	-
CDS	924889	925314	SGL_RS06210	sll1743	50S ribosomal protein L11	-
CDS	925416	926033	SGL_RS06215	sll1742	transcription termination/antitermination	-
CDS	926313	926558	SGL_RS06220	ssl3335	protein translocase subunit SecE	-
tRNA	926670	926742	SGL_RS06225	ST6803t09	tRNA-Trp	-
CDS	926860	927222	SGL_RS06230	sll1740	50S ribosomal protein L19	-
CDS	927333	927758	SGL_RS06235	slr1826	hypothetical protein	+
CDS	927917	928750	SGL_RS06240	slr1827	alpha/beta hydrolase	+
CDS	928806	929885	SGL_RS06245	sll1739	hypothetical protein	-
CDS	930148	930843	SGL_RS06250	sll1738	hypothetical protein	-
CDS	930907	931389	SGL_RS06255	sll1737	Tic20 family protein	-
CDS	931639	931959	SGL_RS06260	slr1828	ferredoxin	+
CDS	932071	933063	SGL_RS06265	slr1829	class III poly(R)-hydroxyalkanoic acid synthase	+
CDS	933157	934293	SGL_RS06270	slr1830	poly-beta-hydroxybutyrate polymerase	+
CDS	934324	934707	SGL_RS06275	sll1736	hypothetical protein	-
CDS	934835	935236	SGL_RS06280	sll1735	hypothetical protein	-
CDS	935409	936704	SGL_RS06285	sll1734	CO2 hydration protein	-
CDS	936768	938276	SGL_RS06290	sll1733	NAD(P)H-quinone oxidoreductase subunit D4	-
CDS	938393	940240	SGL_RS06295	sll1732	oxidoreductase	-
CDS	940638	941270	SGL_RS06300	sll1730	hypothetical protein	-
CDS	941686	943941	SGL_RS06305	slr1834	photosystem I core protein PsaA	+
CDS	944187	946382	SGL_RS06310	slr1835	photosystem I P700 chlorophyll a apoprotein A2	+
CDS	946522	947511	SGL_RS06315	sll1726	phosphotransferase	-
CDS	947511	949343	SGL_RS06320	sll1725	ABC transporter ATP-binding protein	-
CDS	949397	950536	SGL_RS06325	sll1724	glycosyltransferase family 1 protein	-
CDS	950533	951774	SGL_RS06330	sll1723	colanic acid biosynthesis glycosyltransferase	-
CDS	951797	953098	SGL_RS06335	sll1722	glycosyl transferase	-
CDS	953752	954456	SGL_RS06340	slr1837	DNA-binding response regulator	+
CDS	954453	955427	SGL_RS06345	sll1721	alpha-ketoacid dehydrogenase subunit beta	-
CDS	955805	956116	SGL_RS06350	slr1838	carbon dioxide concentrating mechanism protein	+
CDS	956275	956613	SGL_RS06355	slr1839	carbon dioxide concentrating mechanism protein	+
CDS	956673	957788	SGL_RS06360	slr1840	glycerate kinase	+
CDS	958137	960029	SGL_RS06365	slr1841	membrane protein	+
CDS	960156	961094	SGL_RS06370	slr1842	cysteine synthase	+
CDS	961201	962730	SGL_RS06375	slr1843	glucose-6-phosphate 1-dehydrogenase	+
CDS	962888	965800	SGL_RS06380	slr1844	excinuclease ABC subunit A	+
CDS	965938	967473	SGL_RS06385	sll1717	hypothetical protein	-
CDS	967567	968352	SGL_RS06390	sll1716	IS5/IS1182 family transposase	-
CDS	968487	968960	SGL_RS06395	sll1715	PIN domain-containing protein	-
CDS	968893	969129	SGL_RS06400	SGL_RS06400	hypothetical protein	-
pseudoCDS	969185	969337	SGL_RS18735	SGL_RS18735	PemK family transcriptional regulator	-
pseudoCDS	969475	969576	SGL_RS18740	SGL_RS18740	excinuclease ABC subunit C	-
CDS	969762	970868	SGL_RS06405	sll1713	threonine-phosphate decarboxylase	-
CDS	970882	971184	SGL_RS06410	sll1712	DNA-binding protein HU	-
CDS	971460	972317	SGL_RS06415	sll1469	N-acetyltransferase	-
CDS	972485	973954	SGL_RS06420	slr1535	hypothetical protein	+
CDS	974053	975489	SGL_RS06425	slr1536	ATP-dependent DNA helicase RecQ	+
CDS	975779	976648	SGL_RS06430	slr1537	glycosyltransferase family 2 protein	+
CDS	976706	977842	SGL_RS06435	slr1538	cobalt-precorrin-6A synthase	+
CDS	977932	978867	SGL_RS06440	slr1540	hypothetical protein	+
CDS	978941	979573	SGL_RS06445	slr1541	DUF3782 domain-containing protein	+
CDS	979685	980170	SGL_RS06450	slr1542	2-C-methyl-D-erythritol 2,4-cyclodiphosphate	+
CDS	980276	981694	SGL_RS06455	slr1543	MATE family efflux transporter	+
CDS	981691	982605	SGL_RS06460	sll1468	b-carotene hydroxylase	-
CDS	982666	982920	SGL_RS06465	SGL_RS06465	hypothetical protein	+
CDS	982968	983180	SGL_RS06470	ssr2595	high light inducible protein	+
CDS	983229	983540	SGL_RS06475	slr1544	hypothetical protein	+
CDS	983819	984475	SGL_RS06480	slr1545	RNA polymerase sigma factor RpoE	+
CDS	984562	985200	SGL_RS06485	slr1546	hypothetical protein	+
CDS	985224	986222	SGL_RS06490	slr1547	permease	+
tRNA	986297	986377	SGL_RS06495	ST6803t10	tRNA-Leu	+
CDS	986492	987733	SGL_RS06500	sll1466	glycosyl transferase	-
CDS	987740	987967	SGL_RS06505	ssl2823	twin-arginine translocase TatA/TatE family	-
CDS	988072	989505	SGL_RS06510	sll1464	YdiU family protein	-
CDS	989717	991603	SGL_RS06515	sll1463	ATP-dependent zinc metalloprotease FtsH 4	-
CDS	991735	992772	SGL_RS06520	sll1462	hydrogenase expression/formation protein HypE	-
CDS	992821	993483	SGL_RS06525	sll1461	hypothetical protein	-
CDS	993536	994213	SGL_RS06530	sll1459	stationary phase survival protein SurE	-
CDS	994343	994906	SGL_RS06535	slr1549	peptide deformylase	+
CDS	995022	995219	SGL_RS06540	ssr2611	hypothetical protein	+
CDS	995275	996807	SGL_RS06545	slr1550	lysine--tRNA ligase	+
CDS	996850	997806	SGL_RS06550	sll1457	RfbJ protein	-
CDS	998010	998918	SGL_RS06555	sll1456	FkbM family methyltransferase	-
CDS	999029	1001563	SGL_RS06560	slr1552	hypothetical protein	+
CDS	1001639	1002106	SGL_RS06565	sll1455	hypothetical protein	-
pseudoCDS	1002177	1002617	SGL_RS06570	SGL_RS06570	hypothetical protein	+
CDS	1002633	1004777	SGL_RS06575	sll1454	nitrate reductase catalytic subunit	-
CDS	1005181	1006179	SGL_RS06580	sll1453	bacitracin ABC transporter ATP-binding protein	-
CDS	1006234	1008246	SGL_RS06585	sll1452	nitrate transport ATP-binding protein NrtC	-
CDS	1008321	1009148	SGL_RS06590	sll1451	nitrate transport permease nrtB	-
CDS	1009234	1010574	SGL_RS06595	sll1450	nitrate transporter NrtA	-
CDS	1010710	1011759	SGL_RS06600	sll1634	hypothetical protein	-
CDS	1011975	1012619	SGL_RS06605	slr1748	histidine phosphatase family protein	+
CDS	1012616	1012888	SGL_RS06610	ssl3177	hypothetical protein	-
CDS	1013045	1014337	SGL_RS06615	sll1633	cell division protein FtsZ	-
CDS	1014587	1015396	SGL_RS06620	sll1632	hypothetical protein	-
CDS	1015511	1016782	SGL_RS06625	slr1751	S41 family peptidase	+
CDS	1016830	1017495	SGL_RS06630	slr1752	hypothetical protein	+
CDS	1017600	1018493	SGL_RS06635	sll1144	16S rRNA	-
CDS	1018650	1019126	SGL_RS06640	slr1218	DUF4168 domain-containing protein	+
CDS	1019155	1019583	SGL_RS06645	slr1219	urease accessory protein UreE	+
CDS	1019808	1020761	SGL_RS06650	slr1220	photosystem reaction center subunit H	+
CDS	1021421	1022008	SGL_RS06655	slr1222	hypothetical protein	+
CDS	1022278	1024659	SGL_RS06660	sll1143	DNA helicase PcrA	-
CDS	1024825	1025346	SGL_RS06665	sll1142	bifunctional nuclease family protein	-
CDS	1025519	1026442	SGL_RS06670	slr1223	epimerase	+
CDS	1026511	1027737	SGL_RS06675	slr1224	ABC transporter ATP-binding protein	+
CDS	1027844	1029331	SGL_RS06680	slr1225	serine/threonine protein kinase	+
CDS	1029337	1030083	SGL_RS06685	sll1138	HAD family phosphatase	-
CDS	1030195	1030989	SGL_RS06690	slr1226	phosphoribosylaminoimidazolesuccinocarboxamide	+
CDS	1031202	1033787	SGL_RS06695	slr1227	outer membrane protein assembly factor	+
CDS	1033902	1035545	SGL_RS06700	slr1228	peptide chain release factor 3	+
CDS	1035593	1037089	SGL_RS06705	slr1229	SulP family inorganic anion transporter	+
CDS	1037189	1038052	SGL_RS06710	slr1230	hypothetical protein	+
CDS	1038038	1039042	SGL_RS06715	sll1135	NAD(P)/FAD-dependent oxidoreductase	-
CDS	1039196	1039732	SGL_RS06720	slr1232	SH3 domain-containing protein	+
CDS	1040092	1040355	SGL_RS06725	ssr2047	hypothetical protein	+
CDS	1040531	1042258	SGL_RS06730	slr1233	succinate dehydrogenase flavoprotein subunit	+
CDS	1042390	1042557	SGL_RS06735	ssr2049	protochlorophyllide reductase	+
CDS	1042609	1042953	SGL_RS06740	slr1234	histidine triad nucleotide-binding protein	+
CDS	1042999	1043880	SGL_RS06745	slr1235	alpha/beta hydrolase	+
CDS	1043917	1044450	SGL_RS06750	slr1236	DUF192 domain-containing protein	+
CDS	1044517	1044693	SGL_RS06755	ssl2250	glycoprotein	-
CDS	1044915	1046366	SGL_RS06760	sll1132	hypothetical protein	-
CDS	1046402	1046830	SGL_RS06765	sll1131	GtrA family protein	-
CDS	1047005	1048357	SGL_RS06770	slr1237	cytosine deaminase	+
CDS	1048406	1048753	SGL_RS06775	sll1130	type II toxin-antitoxin system PemK/MazF family	-
CDS	1048750	1049016	SGL_RS06780	ssl2245	hypothetical protein	-
CDS	1049517	1050407	SGL_RS06785	sll1129	alpha/beta hydrolase	-
CDS	1050490	1050729	SGL_RS06790	ssr2060	hypothetical protein	+
CDS	1050812	1051078	SGL_RS06795	ssr2061	glutaredoxin	+
CDS	1051159	1052121	SGL_RS06800	slr1238	glutathione synthetase	+
CDS	1052518	1052784	SGL_RS06805	ssr2062	hypothetical protein	+
CDS	1052927	1053754	SGL_RS06810	sll1127	1,4-dihydroxy-2-naphthoyl-CoA synthase	-
CDS	1053955	1055547	SGL_RS06815	slr1239	NAD(P)(+) transhydrogenase (Re/Si-specific)	+
CDS	1055574	1056113	SGL_RS06820	slr1240	hypothetical protein	+
CDS	1056119	1056466	SGL_RS06825	slr1241	hypothetical protein	+
CDS	1056487	1056717	SGL_RS06830	SGL_RS06830	type II toxin-antitoxin system HicA family	+
CDS	1056714	1056944	SGL_RS06835	ssr2067	type II toxin-antitoxin system HicB family	+
CDS	1056985	1058427	SGL_RS06840	slr1434	NAD(P)(+) transhydrogenase (Re/Si-specific)	+
CDS	1058537	1059820	SGL_RS06845	slr1435	TldD/PmbA family protein	+
CDS	1059922	1060773	SGL_RS06850	slr1436	class I SAM-dependent methyltransferase	+
CDS	1060901	1061239	SGL_RS06855	slr1437	hypothetical protein	+
CDS	1061242	1062111	SGL_RS06860	slr1438	aldose 1-epimerase	+
CDS	1062238	1065204	SGL_RS06865	sll1362	isoleucine--tRNA ligase	-
CDS	1065398	1065622	SGL_RS06870	ssr2406	hypothetical protein	+
CDS	1065660	1069010	SGL_RS06875	sll1360	intein-containing DNA polymerase III subunit	-
CDS	1069178	1069609	SGL_RS06880	slr1440	glyoxalase	+
CDS	1069666	1071702	SGL_RS06885	sll1359	hypothetical protein	-
CDS	1071734	1072918	SGL_RS06890	sll1358	hypothetical protein	-
CDS	1073080	1075629	SGL_RS06895	sll1356	glycogen phosphorylase	-
CDS	1076065	1076454	SGL_RS06900	slr1441	hypothetical protein	+
CDS	1076474	1077019	SGL_RS06905	sll1355	Uma2 family endonuclease	-
CDS	1077167	1077412	SGL_RS06910	SGL_RS06910	DUF2442 domain-containing protein	-
pseudoCDS	1077396	1077632	SGL_RS18745	SGL_RS18745	hypothetical protein	-
CDS	1077755	1078612	SGL_RS06915	slr1442	hypothetical protein	+
CDS	1078657	1080501	SGL_RS06920	slr1443	serine/threonine protein kinase	+
CDS	1080695	1081696	SGL_RS06925	slr1444	CHAD domain-containing protein	+
CDS	1081887	1082141	SGL_RS06930	ssr2422	thylakoid membrane protein	+
tRNA	1082298	1082371	SGL_RS06935	ST6803t11	tRNA-Met	-
CDS	1082437	1084716	SGL_RS06940	sll1354	single-stranded-DNA-specific exonuclease RecJ	-
CDS	1084757	1087753	SGL_RS06945	sll1353	two-component sensor histidine kinase	-
CDS	1087772	1089190	SGL_RS06950	sll1352	DUF2079 domain-containing protein	-
CDS	1089400	1090323	SGL_RS06955	slr1448	carbohydrate kinase	+
pseudoCDS	1090359	1090568	SGL_RS18750	SGL_RS18750	hypothetical protein	+
CDS	1090680	1091279	SGL_RS06960	slr1449	cytochrome b	+
CDS	1091317	1091631	SGL_RS06965	slr1450	hypothetical protein	+
CDS	1091698	1092894	SGL_RS06970	sll1350	hypothetical protein	-
CDS	1092925	1093590	SGL_RS06975	sll1349	carotenoid oxygenase	-
CDS	1093626	1094516	SGL_RS06980	sll1348	tRNA epoxyqueuosine(34) reductase QueG	-
CDS	1094649	1095143	SGL_RS06985	sll1282	6,7-dimethyl-8-ribityllumazine synthase	-
CDS	1095248	1095436	SGL_RS06990	SGL_RS06990	photosystem II reaction center protein Z	-
tRNA	1095712	1095793	SGL_RS06995	ST6803t12	tRNA-Leu	-
CDS	1095772	1096683	SGL_RS18755	SGL_RS18755	hypothetical protein	-
CDS	1097077	1098063	SGL_RS07010	slr1356	30S ribosomal protein S1 A	+
CDS	1098323	1099171	SGL_RS18760	SGL_RS18760	IS630 family transposase	+
CDS	1099214	1100368	SGL_RS07025	sll1277	DNA replication and repair protein RecF	-
CDS	1100410	1102149	SGL_RS07030	sll1276	ABC transporter ATP-binding protein	-
CDS	1102283	1104058	SGL_RS07035	sll1275	pyruvate kinase 2	-
CDS	1104246	1104647	SGL_RS07040	slr1362	DUF1824 domain-containing protein	+
CDS	1105030	1105545	SGL_RS07045	sll1274	TIGR02652 family protein	-
CDS	1105666	1107168	SGL_RS07050	slr1363	polyphosphate:AMP phosphotransferase	+
CDS	1107242	1108330	SGL_RS07055	slr1364	biotin synthase	+
CDS	1108314	1108967	SGL_RS07060	slr1365	biotin transporter BioY	+
CDS	1108967	1109452	SGL_RS07065	slr1366	lipoprotein signal peptidase	+
CDS	1109620	1111044	SGL_RS07070	sll1273	hypothetical protein	-
CDS	1111185	1111955	SGL_RS07075	sll1272	DUF4393 domain-containing protein	-
CDS	1112230	1112475	SGL_RS07080	SGL_RS07080	hypothetical protein	-
CDS	1112531	1114249	SGL_RS07085	sll1271	hypothetical protein	-
CDS	1114429	1116021	SGL_RS07090	sll1270	ABC transporter substrate-binding protein	-
CDS	1116360	1116629	SGL_RS07095	ssl2501	hypothetical protein	-
CDS	1117143	1119674	SGL_RS07100	slr1367	glycogen/starch/alpha-glucan phosphorylase	+
CDS	1119916	1120509	SGL_RS07105	slr1368	precorrin-6B methylase	+
CDS	1120643	1121524	SGL_RS07110	slr1369	phosphatidate cytidylyltransferase	+
CDS	1121627	1123180	SGL_RS07115	sll1268	hypothetical protein	-
CDS	1123441	1124031	SGL_RS07120	sll1267	hypothetical protein	-
CDS	1124071	1130007	SGL_RS07125	sll1265	hypothetical protein	-
CDS	1130313	1131683	SGL_RS07130	sll0877	hypothetical protein	-
CDS	1131810	1132247	SGL_RS07135	slr0875	large conductance mechanosensitive channel	+
CDS	1132264	1132899	SGL_RS07140	sll0876	Holliday junction branch migration protein RuvA	-
CDS	1132914	1133690	SGL_RS07145	sll0875	TIGR00297 family protein	-
CDS	1133879	1135108	SGL_RS07150	slr0876	NAD(P)/FAD-dependent oxidoreductase	+
CDS	1135337	1135588	SGL_RS07155	ssr1480	RNA-binding protein	+
CDS	1135716	1137167	SGL_RS07160	slr0877	Asp-tRNA(Asn)/Glu-tRNA(Gln) amidotransferase	+
CDS	1137375	1138112	SGL_RS07165	slr0878	M23 family peptidase	+
CDS	1138210	1138608	SGL_RS07170	slr0879	glycine cleavage system protein H	+
CDS	1138702	1140474	SGL_RS07175	slr0880	DUF814 domain-containing protein	+
CDS	1140497	1141660	SGL_RS07180	sll0873	carboxynorspermidine decarboxylase	-
CDS	1141803	1141946	SGL_RS18765	SGL_RS18765	chlorophyll A-B-binding protein	-
CDS	1142101	1142412	SGL_RS07185	slr0881	hypothetical protein	+
CDS	1142501	1142893	SGL_RS07190	sll0872	hypothetical protein	-
CDS	1143053	1144231	SGL_RS07195	slr0882	YjgP/YjgQ family permease	+
CDS	1144728	1146173	SGL_RS07200	slr0883	LytR family transcriptional regulator	+
CDS	1146290	1146718	SGL_RS07205	sll0871	hypothetical protein	-
CDS	1146867	1147079	SGL_RS07210	SGL_RS07210	hypothetical protein	-
CDS	1147079	1148098	SGL_RS07215	slr0884	type I glyceraldehyde-3-phosphate dehydrogenase	+
CDS	1148488	1148670	SGL_RS07220	SGL_RS07220	hypothetical protein	+
CDS	1148722	1149297	SGL_RS07225	slr0885	Uma2 family endonuclease	+
CDS	1149471	1150067	SGL_RS07230	sll0869	leucyl/phenylalanyl-tRNA--protein transferase	-
CDS	1150122	1151015	SGL_RS07235	sll0868	lipoyl synthase	-
CDS	1151139	1152431	SGL_RS07240	sll0867	aldo/keto reductase	-
CDS	1152549	1153292	SGL_RS07245	slr0886	beta-ketoacyl-ACP reductase	+
CDS	1153292	1154101	SGL_RS07250	slr0887	hypothetical protein	+
CDS	1154143	1154361	SGL_RS07255	SGL_RS07255	hypothetical protein	-
CDS	1154330	1154836	SGL_RS07260	slr0888	hypothetical protein	+
CDS	1154857	1156083	SGL_RS07265	slr0889	hypothetical protein	+
CDS	1156171	1156503	SGL_RS07270	ssr1499	hypothetical protein	+
CDS	1156580	1156975	SGL_RS07275	slr0890	clan AA aspartic protease	+
CDS	1157029	1158909	SGL_RS07280	sll0865	UvrABC system protein C	-
CDS	1159029	1160804	SGL_RS07285	slr0891	N-acetylmuramoyl-L-alanine amidase	+
CDS	1160787	1161260	SGL_RS07290	sll0864	hypothetical protein	-
CDS	1161441	1161842	SGL_RS07295	sll0863	hypothetical protein	-
CDS	1161856	1163367	SGL_RS07300	sll0862	site-2 protease family protein	-
CDS	1163421	1164338	SGL_RS07305	sll0861	N-acetylmuramic acid 6-phosphate etherase	-
CDS	1164496	1165017	SGL_RS07310	sll0860	DUF3110 domain-containing protein	-
CDS	1165087	1166073	SGL_RS07315	sll1317	apocytochrome f	-
CDS	1166186	1166728	SGL_RS07320	sll1316	cytochrome b6-f complex iron-sulfur subunit 2	-
CDS	1167053	1167247	SGL_RS07325	ssl2598	photosystem II reaction center protein H	-
CDS	1167333	1167464	SGL_RS18770	SGL_RS18770	photosystem II reaction center protein PsbN	+
CDS	1167510	1167779	SGL_RS07330	ssl2595	hypothetical protein	-
CDS	1167961	1169019	SGL_RS07335	sll1315	hypothetical protein	-
CDS	1169078	1170187	SGL_RS07340	sll1314	TRAP transporter substrate-binding protein	-
CDS	1170571	1179621	SGL_RS07345	slr1403	hypothetical protein	+
CDS	1179926	1180672	SGL_RS07350	sll1308	NAD(P)-dependent oxidoreductase	-
CDS	1181064	1181609	SGL_RS07355	slr1406	heme-binding protein	+
CDS	1181716	1182585	SGL_RS07360	slr1407	hypothetical protein	+
CDS	1182665	1183645	SGL_RS07365	slr1409	hypothetical protein	+
CDS	1183660	1184664	SGL_RS07370	slr1410	hypothetical protein	+
CDS	1184711	1185238	SGL_RS07375	sll1307	heme-binding protein	-
CDS	1185300	1186307	SGL_RS07380	sll1306	hypothetical protein	-
CDS	1186311	1187198	SGL_RS07385	sll1305	alpha/beta hydrolase	-
CDS	1187219	1188082	SGL_RS07390	sll1304	hypothetical protein	-
CDS	1188079	1188885	SGL_RS07395	sll1785	hypothetical protein	-
CDS	1189110	1189913	SGL_RS07400	sll1784	hypothetical protein	-
CDS	1189940	1190383	SGL_RS07405	sll1783	antibiotic biosynthesis monooxygenase	-
CDS	1190867	1191433	SGL_RS07410	slr1852	hypothetical protein	+
CDS	1191445	1191786	SGL_RS07415	slr1853	carboxymuconolactone decarboxylase family	+
CDS	1191856	1192452	SGL_RS07420	slr1854	thimanine synthesis protein ThiJ	+
CDS	1192485	1194308	SGL_RS07425	slr1855	AGE family epimerase/isomerase	+
CDS	1194314	1194643	SGL_RS07430	slr1856	anti-sigma B factor antagonist	+
CDS	1194653	1196776	SGL_RS07435	slr1857	glycogen debranching enzyme GlgX	+
CDS	1196836	1197162	SGL_RS07440	slr1859	hypothetical protein	+
CDS	1197262	1199166	SGL_RS07445	slr1860	protein IcfG	+
CDS	1199172	1199603	SGL_RS07450	slr1861	anti-sigma regulatory factor	+
CDS	1199708	1200412	SGL_RS07455	slr1862	hypothetical protein	+
CDS	1200376	1201392	SGL_RS07460	sll1780	IS4 family transposase IS4Sa	-
CDS	1201494	1203014	SGL_RS07465	slr1863	hypothetical protein	+
CDS	1203028	1204098	SGL_RS07470	slr1864	AEC family transporter	+
CDS	1204276	1205538	SGL_RS07475	slr1865	carbohydrate ABC transporter substrate-binding	+
CDS	1205546	1206547	SGL_RS07480	slr1866	hypothetical protein	+
CDS	1206947	1207993	SGL_RS07485	slr1867	anthranilate phosphoribosyltransferase	+
CDS	1208020	1208697	SGL_RS07490	sll1776	2-deoxyribose-5-phosphate aldolase	-
CDS	1208749	1211202	SGL_RS07495	sll1775	hypothetical protein	-
CDS	1211401	1211625	SGL_RS07500	SGL_RS07500	hypothetical protein	+
CDS	1211638	1212420	SGL_RS07505	sll1774	hypothetical protein	-
CDS	1212600	1213358	SGL_RS07510	slr1869	hypothetical protein	+
CDS	1213518	1213796	SGL_RS07515	SGL_RS07515	hypothetical protein	+
CDS	1214188	1214937	SGL_RS07520	slr1870	hypothetical protein	+
CDS	1215167	1215403	SGL_RS07525	SGL_RS07525	hypothetical protein	-
CDS	1215453	1216151	SGL_RS07530	sll1773	quercetin 2,3-dioxygenase sll1773	-
CDS	1216281	1217168	SGL_RS07535	slr1871	LysR family transcriptional regulator	+
CDS	1217156	1219624	SGL_RS07540	sll1772	endonuclease MutS2	-
CDS	1219654	1220418	SGL_RS07545	sll1771	serine/threonine-protein phosphatase	-
CDS	1220473	1222230	SGL_RS07550	sll1770	hypothetical protein	-
CDS	1222290	1222472	SGL_RS07555	SGL_RS07555	hypothetical protein	-
CDS	1222610	1222927	SGL_RS07560	sll1769	thylakoid lumen protein	-
CDS	1222937	1223209	SGL_RS07565	ssl3383	hypothetical protein	-
CDS	1223666	1224646	SGL_RS07570	sll1768	ABC transporter permease	-
CDS	1224777	1225841	SGL_RS07575	slr1874	D-alanine--D-alanine ligase	+
CDS	1225928	1226566	SGL_RS07580	slr1875	hypothetical protein	+
CDS	1226686	1226982	SGL_RS07585	ssl3379	ATP-dependent Clp protease adapter protein ClpS	-
